date,day,th_month,year,1st_prize,2digit_up,3digit_up,2digit_buttom,"3digit_front,3digit_bottom",3digit_front,3digit_bottom,thai_zodiac,dow,moon_phase,moon_category,moon_distance_km
2020-03-16,16,มีนาคม,2563,503446,46,446,77,['258' '726' '404' '661'],['258' '726'],['404' '661'],Rat,Monday,0.5438240432739258,จันทร์เพ็ญ,380380.5067180004
2020-03-01,1,มีนาคม,2563,875938,38,938,98,['294' '328' '597' '780'],['294' '328'],['597' '780'],Rat,Sunday,0.3250080871582031,ช่วงข้างขึ้น,400296.3667934621
2020-02-16,16,กุมภาพันธ์,2563,781403,03,403,94,['515' '952' '030' '918'],['515' '952'],['030' '918'],Rat,Sunday,0.4934238815307617,จันทร์เพ็ญ,376471.7754484899
2020-02-01,1,กุมภาพันธ์,2563,589227,27,227,06,['259' '552' '375' '927'],['259' '552'],['375' '927'],Rat,Saturday,0.3993085479736328,จันทร์เพ็ญ,402748.11865641735
2020-01-17,17,มกราคม,2563,491774,74,774,68,['004' '132' '379' '595'],['004' '132'],['379' '595'],Rat,Friday,0.5626660537719727,จันทร์เพ็ญ,370470.88723338675
2019-12-30,30,ธันวาคม,2562,510541,41,541,81,['116' '382' '140' '250'],['116' '382'],['140' '250'],Pig,Monday,0.14217684745788575,ช่วงข้างขึ้น,399087.5580364815
2019-12-16,16,ธันวาคม,2562,529924,24,924,97,['043' '138' '555' '665'],['043' '138'],['555' '665'],Pig,Monday,0.8351737213134766,ช่วงข้างแรม,372325.6711295969
2019-12-01,1,ธันวาคม,2562,453522,22,522,81,['261' '617' '013' '457'],['261' '617'],['013' '457'],Pig,Sunday,0.20346216201782227,ช่วงข้างขึ้น,393762.04229790485
2019-11-16,16,พฤศจิกายน,2562,017223,23,223,32,['164' '640' '085' '194'],['164' '640'],['085' '194'],Pig,Saturday,0.8782234954833984,ช่วงข้างแรมแก่,382556.43214250216
2019-11-01,1,พฤศจิกายน,2562,967375,75,375,79,['323' '806' '021' '206'],['323' '806'],['021' '206'],Pig,Friday,0.18125314712524415,ช่วงข้างขึ้น,382491.8903581286
2019-10-16,16,ตุลาคม,2562,812564,64,564,15,['255' '625' '132' '598'],['255' '625'],['132' '598'],Pig,Wednesday,0.9562503814697265,ช่วงข้างแรมแก่,396965.6554439082
2019-10-01,1,ตุลาคม,2562,691197,97,197,59,['392' '920' '606' '797'],['392' '920'],['606' '797'],Pig,Tuesday,0.07418930053710937,เริ่มข้างขึ้น,365432.3786741076
2019-09-16,16,กันยายน,2562,340388,88,388,85,['733' '947' '925' '939'],['733' '947'],['925' '939'],Pig,Monday,0.9687370300292969,ช่วงข้างแรมแก่,404422.8264461993
2019-09-01,1,กันยายน,2562,798787,87,787,20,['210' '847' '274' '439'],['210' '847'],['274' '439'],Pig,Sunday,0.03913187026977539,เริ่มข้างขึ้น,358902.86085218424
2019-08-16,16,สิงหาคม,2562,775476,76,476,89,['149' '912' '563' '580'],['149' '912'],['563' '580'],Pig,Friday,0.9970552825927734,ช่วงข้างแรมแก่,405491.5102174622
2019-08-01,1,สิงหาคม,2562,387006,06,006,58,['135' '983' '562' '795'],['135' '983'],['562' '795'],Pig,Thursday,0.0004924819245934486,เริ่มข้างขึ้น,360896.6899740929
2019-07-15,15,กรกฎาคม,2562,369765,65,765,88,['355' '901' '113' '556'],['355' '901'],['113' '556'],Pig,Monday,0.9643082427978515,ช่วงข้างแรมแก่,393085.485568454
2019-07-01,1,กรกฎาคม,2562,943647,47,647,86,['239' '864' '006' '375'],['239' '864'],['006' '375'],Pig,Monday,0.04297830581665039,เริ่มข้างขึ้น,375456.104411073
2019-06-16,16,มิถุนายน,2562,174055,55,055,29,['625' '884' '127' '800'],['625' '884'],['127' '800'],Pig,Sunday,0.9790934753417969,ช่วงข้างแรมแก่,384671.7168510868
2019-06-01,1,มิถุนายน,2562,516461,61,461,46,['589' '713' '215' '560'],['589' '713'],['215' '560'],Pig,Saturday,0.06856600761413574,เริ่มข้างขึ้น,388277.5231887586
